episode,scenario,steps,return,rolling_return_20,distance_m,mean_speed_mps,outcome,epsilon,mean_loss,eval_return,eval_distance_m,eval_safe_rate
1,lane,845,-686.7148,-686.7148,120.053,1.4207,off_road,0.991081,0.30298,,,
2,lane,531,-407.41095,-547.06287,116.49,2.1938,off_road,0.985476,0.502803,,,
3,lane,265,-373.53684,-489.22086,96.626,3.6463,off_road,0.982678,0.365616,,,
4,lane,220,-395.40505,-465.76691,69.754,3.1706,off_road,0.980356,0.635713,,,
5,lane,494,-501.26171,-472.86587,89.889,1.8196,off_road,0.975142,0.81152,,,
6,lane,900,-316.90841,-446.87296,127.724,1.4192,complete,0.965642,0.656117,,,
7,lane,900,-198.06251,-411.32861,166.66,1.8518,complete,0.956142,0.449558,,,
8,lane,518,-449.89014,-416.1488,158.133,3.0528,off_road,0.950674,0.528194,,,
9,lane,900,48.05076,-364.57107,170.699,1.8967,complete,0.941174,0.342238,,,
10,lane,584,-437.02515,-371.81648,115.606,1.9796,off_road,0.935009,0.370731,,,
11,lane,900,0.01698,-338.01344,161.739,1.7971,complete,0.925509,0.375009,,,
12,lane,900,-147.54673,-322.14121,186.126,2.0681,complete,0.916009,0.319177,,,
13,lane,900,-151.41263,-309.00825,150.706,1.6745,complete,0.906509,0.311834,,,
14,lane,900,-48.2619,-290.38351,223.914,2.4879,complete,0.897009,0.268531,,,
15,lane,900,-58.87483,-274.9496,165.992,1.8444,complete,0.887509,0.263201,,,
16,lane,845,-617.80531,-296.37808,200.132,2.3684,off_road,0.87859,0.260273,,,
17,lane,900,76.27996,-274.45702,261.941,2.9105,complete,0.86909,0.244908,,,
18,lane,900,-31.36224,-260.95175,281.308,3.1256,complete,0.85959,0.167529,,,
19,lane,900,-40.70468,-249.3598,214.795,2.3866,complete,0.85009,0.149581,,,
20,lane,900,-53.84632,-239.58413,294.508,3.2723,complete,0.84059,0.246186,,,
21,lane,900,15.41849,-204.47746,545.334,6.0593,complete,0.83109,0.168426,,,
22,lane,900,157.34435,-176.2397,443.069,4.923,complete,0.82159,0.138015,,,
23,lane,900,117.4846,-151.68862,370.749,4.1194,complete,0.81209,0.215949,,,
24,lane,900,184.99205,-122.66877,437.477,4.8609,complete,0.80259,0.181386,,,
25,lane,900,240.18138,-85.59661,807.311,8.9701,complete,0.79309,0.128463,-151.16364,500.976,0.3333
26,lane,900,570.63979,-41.2192,1268.854,14.0984,complete,0.78359,0.103641,,,
27,lane,900,74.94159,-27.569,486.753,5.4084,complete,0.77409,0.161004,,,
28,lane,900,307.28322,10.28967,783.944,8.7105,complete,0.76459,0.130641,,,
29,lane,900,199.06746,17.8405,793.985,8.8221,complete,0.75509,0.167582,,,
30,lane,900,559.7472,67.67912,1260.36,14.004,complete,0.74559,0.096338,,,
31,lane,900,692.88214,102.32238,1676.443,18.6271,complete,0.73609,0.095804,,,
32,lane,900,543.17338,136.85839,1308.903,14.5434,complete,0.72659,0.128328,,,
33,lane,900,749.2398,181.89101,1830.145,20.3349,complete,0.71709,0.093234,,,
34,lane,900,671.77335,217.89277,1726.462,19.1829,complete,0.70759,0.229397,,,
35,lane,900,788.76125,260.27457,1951.07,21.6786,complete,0.69809,0.176952,,,
36,lane,900,937.47151,338.03841,2245.987,24.9554,complete,0.68859,0.074536,,,
37,lane,900,958.89494,382.16916,2282.177,25.3575,complete,0.67909,0.113104,,,
38,lane,900,968.87528,432.18104,2284.766,25.3863,complete,0.66959,0.141224,,,
39,lane,900,979.4392,483.18823,2323.941,25.8216,complete,0.66009,0.099342,,,
40,lane,900,1010.51831,536.40646,2403.711,26.7079,complete,0.65059,0.071947,,,
41,lane,900,943.52966,582.81202,2211.264,24.5696,complete,0.64109,0.093982,,,
42,lane,900,994.89252,624.68943,2361.999,26.2444,complete,0.63159,0.107827,,,
43,lane,900,1035.72958,670.60168,2455.132,27.2792,complete,0.62209,0.120788,,,
44,lane,900,926.5088,707.67752,2196.163,24.4018,complete,0.61259,0.076561,,,
45,lane,900,1051.18866,748.22788,2498.849,27.765,complete,0.60309,0.076929,,,
46,lane,900,986.73989,769.03289,2331.393,25.9044,complete,0.59359,0.122526,,,
47,lane,900,997.50602,815.16111,2357.109,26.1901,complete,0.58409,0.113701,,,
48,lane,900,1051.94877,852.39439,2497.218,27.7469,complete,0.57459,0.106882,,,
49,lane,900,1049.67009,894.92452,2480.029,27.5559,complete,0.56509,0.133829,,,
50,lane,900,1008.37997,917.35616,2478.798,27.5422,complete,0.55559,0.118892,-479.10524,184.625,0.0
51,lane,900,973.28967,931.37653,2533.731,28.1526,complete,0.54609,0.084908,,,
52,lane,900,979.49536,953.19263,2318.394,25.7599,complete,0.53659,0.080959,,,
53,lane,900,1061.08947,968.78512,2508.181,27.8687,complete,0.52709,0.11608,,,
54,lane,900,1018.99607,986.14625,2461.978,27.3553,complete,0.51759,0.107219,,,
55,lane,900,1084.34071,1000.92522,2566.433,28.5159,complete,0.50809,0.093975,,,
56,lane,900,1079.26018,1008.01466,2551.462,28.3496,complete,0.49859,0.093394,,,
57,lane,900,1069.96823,1013.56832,2529.474,28.1053,complete,0.48909,0.101134,,,
58,lane,900,1057.3735,1017.99323,2505.75,27.8417,complete,0.47959,0.1299,,,
59,lane,900,1087.24152,1023.38335,2571.225,28.5692,complete,0.47009,0.067306,,,
60,lane,900,1060.84152,1025.89951,2512.68,27.9187,complete,0.46059,0.12502,,,
61,lane,900,1057.43359,1031.59471,2502.391,27.8043,complete,0.45109,0.102798,,,
62,lane,900,1085.91943,1036.14605,2576.946,28.6327,complete,0.44159,0.068337,,,
63,lane,900,1080.94073,1038.40661,2561.31,28.459,complete,0.43209,0.080442,,,
64,lane,900,1089.98038,1046.58019,2581.88,28.6876,complete,0.42259,0.083423,,,
65,lane,900,1079.43403,1047.99246,2559.692,28.441,complete,0.41309,0.102776,,,
66,lane,900,1095.88184,1053.44955,2594.613,28.829,complete,0.40359,0.071462,,,
67,lane,900,1058.41043,1056.49477,2511.158,27.9018,complete,0.39409,0.077861,,,
68,lane,900,1090.53287,1058.42398,2575.814,28.6202,complete,0.38459,0.071201,,,
69,lane,900,1090.29024,1060.45499,2584.877,28.7209,complete,0.37509,0.088189,,,
70,lane,900,1100.17536,1065.04476,2609.809,28.9979,complete,0.36559,0.092274,,,
71,lane,900,1095.72799,1071.16667,2605.023,28.9447,complete,0.35609,0.08523,,,
72,lane,900,1088.07322,1076.59557,2603.405,28.9267,complete,0.34659,0.059999,,,
73,lane,900,1098.85748,1078.48397,2618.621,29.0958,complete,0.33709,0.090872,,,
74,lane,900,1091.72169,1082.12025,2593.605,28.8178,complete,0.32759,0.070525,,,
75,lane,900,1092.61045,1082.53373,2596.177,28.8464,complete,0.31809,0.103582,-199.57422,468.312,0.3333
76,lane,900,1090.15737,1083.07859,2576.56,28.6284,complete,0.30859,0.100067,,,
77,lane,900,1103.41885,1084.75112,2613.336,29.0371,complete,0.29909,0.079615,,,
78,lane,900,1091.58884,1086.46189,2579.552,28.6617,complete,0.28959,0.076934,,,
79,lane,900,1104.01066,1087.30035,2605.661,28.9518,complete,0.28009,0.078533,,,
80,lane,900,1112.44991,1089.88077,2624.213,29.1579,complete,0.27059,0.084072,,,
81,lane,900,1110.63174,1092.54068,2619.413,29.1046,complete,0.26109,0.115369,,,
82,lane,900,1110.06117,1093.74776,2618.594,29.0955,complete,0.25159,0.090123,,,
83,lane,900,1099.49512,1094.67548,2596.585,28.8509,complete,0.24209,0.072503,,,
84,lane,900,1117.70553,1096.06174,2633.653,29.2628,complete,0.23259,0.095242,,,
85,lane,900,1113.94028,1097.78705,2633.5,29.2611,complete,0.22309,0.102969,,,
86,lane,900,1108.48031,1098.41698,2607.336,28.9704,complete,0.21359,0.075052,,,
87,lane,900,1109.09167,1100.95104,2611.266,29.0141,complete,0.20409,0.09868,,,
88,lane,900,1115.6844,1102.20862,2632.773,29.253,complete,0.19459,0.103097,,,
89,lane,900,1119.10534,1103.64937,2633.026,29.2558,complete,0.18509,0.089389,,,
90,lane,900,1119.93987,1104.6376,2636.901,29.2989,complete,0.17559,0.098363,,,
91,lane,900,1118.96404,1105.7994,2633.421,29.2602,complete,0.16609,0.101778,,,
92,lane,900,1125.97496,1107.69448,2642.628,29.3625,complete,0.15659,0.102548,,,
93,lane,900,1118.97312,1108.70027,2628.176,29.202,complete,0.14709,0.090937,,,
94,lane,900,1123.65806,1110.29708,2637.347,29.3039,complete,0.13759,0.097906,,,
95,lane,900,1125.08381,1111.92075,2640.346,29.3372,complete,0.12809,0.0983,,,
96,lane,900,1120.34357,1113.43006,2630.969,29.233,complete,0.11859,0.090878,,,
97,lane,900,1121.81813,1114.35003,2637.907,29.3101,complete,0.10909,0.08525,,,
98,lane,900,1127.79864,1116.16052,2643.644,29.3738,complete,0.09959,0.126334,,,
99,lane,900,1124.86614,1117.20329,2642.106,29.3567,complete,0.09009,0.10557,,,
100,lane,900,1120.3321,1117.5974,2634.961,29.2773,complete,0.08059,0.088096,-61.20045,974.989,0.3333
101,lane,900,1126.08006,1118.36982,2638.234,29.3137,complete,0.07109,0.123045,,,
102,lane,900,1126.29118,1119.18132,2643.803,29.3756,complete,0.06159,0.119343,,,
103,lane,900,1126.81728,1120.54743,2640.397,29.3377,complete,0.05209,0.070351,,,
104,lane,900,1127.3403,1121.02916,2643.087,29.3676,complete,0.05,0.109364,,,
105,lane,900,1124.71294,1121.5678,2634.673,29.2741,complete,0.05,0.116492,,,
106,lane,900,1124.75826,1122.38169,2644.732,29.3859,complete,0.05,0.113308,,,
107,lane,900,1125.70649,1123.21243,2636.398,29.2933,complete,0.05,0.124114,,,
108,lane,900,1126.55321,1123.75587,2644.201,29.38,complete,0.05,0.139132,,,
109,lane,900,1127.00411,1124.15081,2639.876,29.332,complete,0.05,0.105677,,,
110,lane,900,1125.37801,1124.42272,2641.935,29.3548,complete,0.05,0.102085,,,
111,lane,900,1128.16317,1124.88268,2646.176,29.402,complete,0.05,0.113331,,,
112,lane,900,1127.15109,1124.94148,2642.382,29.3598,complete,0.05,0.103857,,,
113,lane,900,1125.52408,1125.26903,2640.011,29.3335,complete,0.05,0.101241,,,
114,lane,900,1127.16778,1125.44452,2642.799,29.3644,complete,0.05,0.099863,,,
115,lane,900,1127.54317,1125.56749,2645.219,29.3913,complete,0.05,0.110113,,,
116,lane,900,1127.71278,1125.93595,2643.841,29.376,complete,0.05,0.092291,,,
117,lane,900,1125.77884,1126.13398,2640.827,29.3425,complete,0.05,0.115568,,,
118,lane,900,1119.60507,1125.7243,2631.747,29.2416,complete,0.05,0.119902,,,
119,lane,900,1123.15944,1125.63897,2640.199,29.3355,complete,0.05,0.096844,,,
120,lane,900,1121.32014,1125.68837,2643.043,29.3671,complete,0.05,0.122049,,,
121,lane,900,1123.90372,1125.57955,2643.486,29.3721,complete,0.05,0.107662,,,
122,lane,900,1120.04359,1125.26717,2643.231,29.3692,complete,0.05,0.109813,,,
123,lane,900,1116.49338,1124.75098,2639.281,29.3253,complete,0.05,0.123564,,,
124,lane,900,1115.82654,1124.17529,2642.723,29.3636,complete,0.05,0.122465,,,
125,lane,900,1106.34292,1123.25679,2639.736,29.3304,complete,0.05,0.104148,10.3886,807.021,0.3333
126,lane,900,1119.41958,1122.98986,2643.659,29.374,complete,0.05,0.11513,,,
127,lane,900,1117.59794,1122.58443,2636.781,29.2976,complete,0.05,0.087315,,,
