episode,scenario,steps,return,rolling_return_20,distance_m,mean_speed_mps,outcome,epsilon,mean_loss,eval_return,eval_distance_m,eval_safe_rate
1,lane,134,-425.19528,-425.19528,64.131,4.7859,off_road,0.998586,,,,
2,lane,900,-48.32398,-236.75963,192.078,2.1342,complete,0.989086,0.979111,,,
3,lane,900,-225.15977,-232.89301,168.468,1.8719,complete,0.979586,0.519878,,,
4,lane,900,-48.21868,-186.72443,117.493,1.3055,complete,0.970086,0.159405,,,
5,lane,478,-515.49472,-252.47849,96.928,2.0278,off_road,0.96504,0.134209,,,
6,lane,900,-73.83184,-222.70405,138.288,1.5365,complete,0.95554,0.233769,,,
7,lane,900,-130.46685,-209.5273,197.489,2.1943,complete,0.94604,0.14476,,,
8,lane,900,65.02791,-175.2079,302.343,3.3594,complete,0.93654,0.160523,,,
9,lane,287,-368.19738,-196.65118,91.473,3.1872,off_road,0.933511,0.064145,,,
10,lane,900,-60.18123,-183.00418,112.984,1.2554,complete,0.924011,0.126873,,,
11,lane,900,-211.45654,-185.59076,113.341,1.2593,complete,0.914511,0.14413,,,
12,lane,900,89.57811,-162.66002,408.059,4.534,complete,0.905011,0.12594,,,
13,lane,900,-30.9025,-152.52483,162.574,1.8064,complete,0.895511,0.083245,,,
14,lane,900,-180.46831,-154.52079,112.74,1.2527,complete,0.886011,0.106873,,,
15,lane,693,-421.29996,-172.30607,274.086,3.9551,off_road,0.878696,0.075089,,,
16,lane,900,-321.27344,-181.61653,228.367,2.5374,complete,0.869196,0.101573,,,
17,lane,534,-461.64219,-198.08863,186.901,3.5,off_road,0.863559,0.096916,,,
18,lane,900,-95.04688,-192.36408,254.915,2.8324,complete,0.854059,0.102059,,,
19,lane,900,142.28632,-174.75091,439.319,4.8813,complete,0.844559,0.168858,,,
20,lane,900,104.77308,-160.77471,297.161,3.3018,complete,0.835059,0.102029,,,
21,lane,900,485.13819,-115.25803,1268.715,14.0968,complete,0.825559,0.157952,,,
22,lane,900,115.41135,-107.07127,328.374,3.6486,complete,0.816059,0.123096,,,
23,lane,900,413.74082,-75.12624,1395.682,15.5076,complete,0.806559,0.104254,,,
24,lane,900,305.23164,-57.45372,750.329,8.337,complete,0.797059,0.117256,,,
25,lane,900,132.59161,-25.0494,673.645,7.4849,complete,0.787559,0.119273,,,
26,lane,900,276.18921,-7.54835,608.762,6.764,complete,0.778059,0.101476,,,
27,lane,900,508.71544,24.41076,1142.464,12.694,complete,0.768559,0.127037,,,
28,lane,900,496.84977,46.00186,1315.642,14.6182,complete,0.759059,0.091193,,,
29,lane,900,470.195,87.92148,1044.821,11.6091,complete,0.749559,0.05552,,,
30,lane,900,411.50152,111.50561,1164.139,12.9349,complete,0.740059,0.076718,,,
31,lane,900,559.01314,150.0291,1540.798,17.12,complete,0.730559,0.07037,,,
32,lane,900,827.32332,186.91636,2096.113,23.2901,complete,0.721059,0.058085,,,
33,lane,900,699.15174,223.41907,1943.288,21.5921,complete,0.711559,0.105917,,,
34,lane,900,849.67253,274.92611,2025.707,22.5079,complete,0.702059,0.065663,,,
35,lane,900,927.18457,342.35034,2200.084,24.4454,complete,0.692559,0.084135,,,
36,lane,900,633.68087,390.09805,1739.399,19.3267,complete,0.683059,0.057988,,,
37,lane,900,798.1195,453.08614,2006.189,22.291,complete,0.673559,0.095073,,,
38,lane,900,938.99749,504.78836,2242.251,24.9139,complete,0.664059,0.071612,,,
39,lane,900,866.89589,541.01883,2343.119,26.0347,complete,0.654559,0.081724,,,
40,lane,900,975.34335,584.54735,2353.228,26.147,complete,0.645059,0.06166,,,
41,lane,900,929.54896,606.76789,2201.323,24.4591,complete,0.635559,0.126007,,,
42,lane,900,849.73303,643.48397,2120.175,23.5575,complete,0.626059,0.097113,,,
43,lane,900,926.74812,669.13433,2190.505,24.3389,complete,0.616559,0.086804,,,
44,lane,900,953.75723,701.56061,2438.81,27.0979,complete,0.607059,0.0805,,,
45,lane,900,1016.15644,745.73886,2489.409,27.6601,complete,0.597559,0.085736,,,
46,lane,900,988.12712,781.33575,2396.222,26.6247,complete,0.588059,0.099449,,,
47,lane,900,980.54241,804.9271,2339.37,25.993,complete,0.578559,0.071071,,,
48,lane,900,866.77035,823.42313,2243.12,24.9236,complete,0.569059,0.093435,,,
49,lane,900,1032.55032,851.54089,2468.97,27.433,complete,0.559559,0.093924,,,
50,lane,900,1013.89731,881.66068,2406.749,26.7417,complete,0.550059,0.067936,-494.34411,162.996,0.0
51,lane,900,1055.18611,906.46933,2508.757,27.8751,complete,0.540559,0.105258,,,
52,lane,900,1020.63275,916.1348,2468.867,27.4319,complete,0.531059,0.09319,,,
53,lane,900,1056.71986,934.01321,2521.174,28.013,complete,0.521559,0.123988,,,
54,lane,900,1073.55586,945.20738,2543.874,28.2653,complete,0.512059,0.080595,,,
55,lane,900,1076.57691,952.67699,2568.424,28.538,complete,0.502559,0.074059,,,
56,lane,900,1056.11295,973.7986,2497.473,27.7497,complete,0.493059,0.076832,,,
57,lane,900,1080.66691,987.92597,2559.891,28.4432,complete,0.483559,0.076614,,,
58,lane,900,1077.76415,994.8643,2567.76,28.5307,complete,0.474059,0.070395,,,
59,lane,900,1091.39076,1006.08904,2592.266,28.803,complete,0.464559,0.113446,,,
60,lane,900,1077.36887,1011.19032,2563.99,28.4888,complete,0.455059,0.059913,,,
61,light_traffic,267,-250.25474,952.20014,631.054,23.635,collision,0.452241,0.049806,,,
62,light_traffic,283,-277.57357,895.83481,732.062,25.8679,collision,0.449253,0.10649,,,
63,light_traffic,206,-395.15904,829.73945,426.507,20.7042,collision,0.447079,0.197778,,,
64,light_traffic,70,-512.20893,756.44114,117.574,16.7963,collision,0.44634,0.334541,,,
65,light_traffic,76,-512.83176,679.99173,131.689,17.3275,collision,0.445538,0.026322,,,
66,light_traffic,363,-244.39004,618.36587,964.906,26.5814,collision,0.441706,0.133307,,,
67,light_traffic,526,-40.24501,567.3265,1472.176,27.9881,collision,0.436154,0.227762,,,
68,light_traffic,162,-425.48287,502.71384,369.721,22.8223,collision,0.434444,0.147445,,,
69,light_traffic,62,-519.43367,425.11464,116.984,18.8685,collision,0.433789,0.396916,,,
70,light_traffic,130,-392.52541,354.7935,274.638,21.126,collision,0.432417,0.146958,,,
71,light_traffic,153,-411.11531,281.47843,350.516,22.9096,collision,0.430802,0.219374,,,
72,light_traffic,251,-344.97096,213.19825,586.334,23.3599,collision,0.428153,0.17352,,,
73,light_traffic,144,-451.94797,137.76486,292.209,20.2923,collision,0.426633,0.109237,,,
74,light_traffic,81,-500.26502,59.07381,139.374,17.2066,collision,0.425778,0.388145,,,
75,light_traffic,140,-439.82161,-16.74611,309.109,22.0792,collision,0.4243,0.25275,,,
76,light_traffic,108,-466.37455,-92.87049,212.782,19.702,collision,0.42316,0.13757,,,
77,light_traffic,205,-381.06446,-165.95706,492.914,24.0446,collision,0.420996,0.325346,,,
78,light_traffic,362,-206.44699,-230.16761,966.515,26.6993,collision,0.417175,0.351857,,,
79,light_traffic,90,-474.03326,-308.43881,184.273,20.4748,collision,0.416225,0.37608,,,
80,light_traffic,131,-449.93618,-384.80407,293.778,22.4258,collision,0.414842,0.239854,,,
81,light_traffic,235,-334.39464,-389.01106,611.711,26.0302,collision,0.412362,0.323955,,,
82,light_traffic,169,-400.15024,-395.1399,401.033,23.7298,collision,0.410578,0.436531,,,
83,light_traffic,194,-374.76433,-394.12016,460.411,23.7325,collision,0.40853,0.272298,,,
84,light_traffic,173,-409.96477,-389.00795,408.435,23.6089,collision,0.406704,0.259362,,,
85,light_traffic,95,-491.81597,-387.95716,171.974,18.1025,collision,0.405701,0.422331,,,
86,light_traffic,153,-417.6282,-396.61907,358.529,23.4333,collision,0.404086,0.310388,,,
87,light_traffic,114,-463.05499,-417.75957,221.436,19.4242,collision,0.402883,0.377531,,,
88,light_traffic,171,-410.40921,-417.00589,373.01,21.8134,collision,0.401078,0.52389,,,
89,light_traffic,145,-434.81121,-412.77476,318.719,21.9806,collision,0.399547,0.441838,,,
90,light_traffic,228,-370.73666,-411.68533,540.081,23.6878,collision,0.397141,0.352626,,,
91,light_traffic,68,-518.41464,-417.05029,119.207,17.5304,collision,0.396423,0.044504,,,
92,light_traffic,113,-465.21458,-423.06247,231.974,20.5287,collision,0.39523,0.548237,,,
93,light_traffic,135,-430.43808,-421.98698,297.937,22.0694,collision,0.393805,0.369389,,,
94,light_traffic,255,-314.19325,-412.68339,665.897,26.1136,collision,0.391113,0.764321,,,
95,light_traffic,303,-266.78211,-404.03142,804.555,26.553,collision,0.387915,0.257825,,,
96,light_traffic,84,-499.37606,-405.68149,153.603,18.2861,collision,0.387028,0.256704,,,
97,light_traffic,141,-460.71851,-409.66419,294.844,20.9109,collision,0.38554,0.384419,,,
